StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,DistributionChannel,UserLanguage,consent,age,sex,sex_7_TEXT,ethnic,ethnic_8_TEXT,relstat,child,educ,jobcat,jobtitle,emp,yearsemp,yearsjob,worksit,worksit_5_TEXT,level,Q153_First Click,Q153_Last Click,Q153_Page Submit,Q153_Click Count,mil1,mil2,mil3,mil4,mil5,Q174_First Click,Q174_Last Click,Q174_Page Submit,Q174_Click Count,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,sig9,sig10,sig11,sig12,sig13,sig14,sig15,sig16,sig17,coh1,coh2,coh3,coh4,coh5,coh6,attn1,coh7,coh8,coh9,coh10,coh11,coh12,coh13,coh14,coh15,coh16,wamiuncategorized,purp1,purp2,purp3,purp4,purp5,purp6,purp7,purp8,purp9,attn2,purp10,purp11,purp12,purp13,purp14,purp15,purp16,socwor1,socwor2,socwor3,socwor4,socwor5,socwor6,sr1,sr2,sr3,sr4,sr5,sr6,sr7,sr8,pg1,pg2,pg3,pg4,pg5,gmw1,gmw2,gmw3,gmw4,gmw5,gmw6,gmw7,gmw8,choice,persinc,housinc,seslad,ses1,ses2,ses3,comments,id,random
08/06/2022 20:55,08/06/2022 21:02,0,100,395,1,08/06/2022 21:02,anonymous,EN,1,47,1,,4,,1,1,5,13,Registered Nurse,1,3,3,2,,5,5.609,37.368,38.668,18,6,7,7,6,1,12.848,19.138,20.034,7,7,7,7,7,,7,7,7,7,6,6,6,6,7,6,7,,7,6,5,5,6,3,2,3,5,6,2,3,3,5,6,5,3,7,7,7,7,7,6,6,7,6,7,6,,7,7,7,7,7,7,6,6,7,6,6,7,7,6,7,1,3,6,5,7,7,7,7,,7,7,7,7,6,7,6,7,7,2,4,4,7,5,6,3,Thanks!,,61253
08/06/2022 21:27,08/06/2022 21:32,0,100,289,1,08/06/2022 21:32,anonymous,EN,1,35,1,,1,,2,3,4,8,teacher,5,3,1,4,,5,2.001,17.253,17.945,9,7,7,7,7,1,1.863,12.195,12.589,8,6,6,6,6,1,7,6,7,6,7,7,7,7,7,6,6,7,5,6,6,5,5,1,2,1,1,1,3,2,2,6,5,1,6,6,7,7,6,5,6,6,6,6,7,6,7,7,7,4,7,6,7,6,6,6,6,6,7,6,7,6,1,6,6,,6,6,7,6,7,6,6,7,6,6,6,7,7,7,1,1,4,3,2,5,2,N/A,,65127
08/06/2022 20:46,08/06/2022 20:51,0,100,340,1,08/06/2022 20:51,anonymous,EN,1,29,2,,1,,1,1,5,6,web developer,1,2,2,1,,5,6.586,36.49,37.687,8,5,6,5,6,5,0.88,9.053,13.837,8,5,4,4,4,5,6,6,4,4,5,6,5,5,5,4,4,5,4,4,3,5,5,4,2,5,6,4,5,5,6,3,4,4,4,4,4,5,5,5,6,4,3,4,4,6,5,5,4,4,5,4,4,5,4,5,4,5,6,5,6,4,3,5,4,6,4,4,4,6,4,5,4,4,6,5,5,5,5,4,2,6,6,8,6,5,6,No,,61636
08/06/2022 20:02,08/06/2022 20:11,0,100,503,1,08/06/2022 20:11,anonymous,EN,1,36,2,,1,,2,1,3,12,Office Manager,1,3,3,4,,3,7.762,37.871,39.207,9,5,6,6,6,1,2.055,11.418,12.573,10,5,3,6,6,2,5,2,2,1,2,2,1,2,3,2,2,2,2,4,6,5,2,1,2,2,2,1,1,3,1,5,3,6,6,2,2,2,2,2,1,2,5,2,2,6,2,2,3,2,2,3,2,2,2,3,2,3,2,2,1,4,2,4,3,3,2,2,2,6,4,2,1,2,1,2,1,1,1,1,2,4,4,5,2,2,1,None,,11457
08/06/2022 20:02,08/06/2022 20:08,0,100,345,1,08/06/2022 20:08,anonymous,EN,1,35,1,,4,,7,1,4,4,accounting assistant team lead,1,2,2,4,,5,20.929,43.978,45.618,7,5,5,5,5,3,3.352,9.168,10.041,5,5,5,6,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2,2,3,2,2,,3,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,6,2,6,5,6,6,6,6,6,5,6,5,5,5,5,5,6,5,5,2,5,8,4,5,5,3,,,91270
08/06/2022 20:00,08/06/2022 20:06,0,100,356,1,08/06/2022 20:06,anonymous,EN,1,33,1,,1,,7,1,3,18,self employed,1,3,3,2,,6,9.668,31.677,33.349,7,6,5,5,5,2,2.995,12.153,13.564,5,7,6,6,6,3,7,3,7,6,6,4,7,7,6,6,6,7,5,6,5,6,6,4,2,4,4,4,5,4,4,4,6,3,4,4,5,7,6,3,4,5,3,3,3,6,4,7,3,3,3,3,4,6,6,7,6,6,7,5,4,4,5,4,4,4,5,6,6,5,6,6,5,7,6,5,6,6,5,7,2,2,3,5,1,1,4,thank you,,71204
08/06/2022 20:44,08/06/2022 20:50,0,100,333,1,08/06/2022 20:50,anonymous,EN,1,57,1,,1,,2,2,5,20,digtal product manager,1,3,3,1,,4,3.769,22.664,23.753,7,6,6,6,6,2,2.885,12.196,13.368,8,3,3,2,2,6,3,1,5,2,1,2,2,3,2,5,2,2,5,5,6,6,6,1,2,3,2,2,2,3,1,6,7,7,6,6,3,2,5,6,5,7,5,6,6,6,6,5,6,3,6,6,5,6,6,2,5,6,6,7,5,6,1,5,5,6,6,5,5,6,5,5,2,6,2,1,2,5,3,2,2,8,8,3,6,7,6,no,,41781
08/06/2022 20:08,08/06/2022 20:19,0,100,651,1,08/06/2022 20:19,anonymous,EN,1,37,2,,1,,2,13,4,4,Tax Director,1,3,3,2,,2,7.13,33.083,34.616,12,7,7,7,7,1,4.528,21.068,22.572,15,5,4,4,3,2,5,6,7,7,6,6,6,6,5,6,6,5,5,4,6,6,6,2,2,2,5,5,2,3,2,5,7,6,5,6,6,6,6,6,6,7,7,7,7,6,6,5,6,6,7,6,5,6,6,6,7,6,7,6,7,6,1,5,5,5,6,7,7,7,6,5,6,7,6,7,6,6,5,6,2,7,7,5,6,7,7,,,56072
08/06/2022 20:27,08/06/2022 20:34,0,100,428,1,08/06/2022 20:34,anonymous,EN,1,52,2,,1,,2,1,4,8,mentor,2,2,2,2,,5,2.381,32.871,34.067,7,4,5,5,5,3,4.149,18.436,20.073,6,6,5,5,5,2,6,5,6,6,5,6,6,6,5,6,6,6,5,6,6,6,6,2,2,5,4,5,2,2,,,,6,6,3,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,,2,5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,1,4,6,7,6,6,4,,,59959
08/06/2022 22:10,08/06/2022 22:17,0,100,416,1,08/06/2022 22:17,anonymous,EN,1,38,7,nonbinary,3,,2,3,4,8,Teacher,1,2,1,2,,5,3.24,36.24,37.561,7,3,3,3,3,5,3.242,20.931,21.907,5,5,5,4,4,5,5,3,5,5,5,5,5,5,5,3,3,5,4,4,5,5,4,2,2,2,2,3,5,4,4,5,5,5,4,3,4,5,4,4,5,5,5,5,4,6,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,3,5,5,5,4,5,5,6,5,6,5,3,5,5,5,3,5,5,1,4,6,7,5,3,2,none,,54053
08/06/2022 22:32,08/06/2022 22:39,0,100,472,1,08/06/2022 22:39,anonymous,EN,1,32,1,,4,,1,1,4,5,Senior Consultant,1,2,1,2,,4,7.717,49.428,50.38,9,5,5,6,6,3,2.625,9.463,10.626,7,6,4,5,6,2,5,3,4,4,5,4,4,3,4,3,4,4,4,4,3,5,4,6,2,6,6,7,5,7,6,2,3,3,3,5,5,5,4,5,4,2,5,2,4,6,2,4,3,3,5,6,4,3,4,6,3,4,3,5,4,3,5,3,2,3,5,4,4,4,4,4,5,6,4,3,4,6,4,5,2,5,5,6,5,5,5,,,35959
08/06/2022 19:59,08/06/2022 20:04,0,100,286,1,08/06/2022 20:04,anonymous,EN,1,38,2,,1,,1,1,4,20,manager,1,3,3,1,,2,11.781,30.584,31.5,7,6,5,5,5,3,3.557,10.239,11.627,6,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,2,5,2,2,5,3,5,3,3,3,2,3,3,,3,3,3,3,3,2,2,5,6,3,6,2,3,3,2,5,5,2,6,6,7,7,6,6,2,3,2,5,2,2,2,2,3,5,5,3,3,3,3,3,3,3,3,3,3,2,4,4,3,2,1,5,no,,25369
08/06/2022 21:25,08/06/2022 21:33,0,100,492,1,08/06/2022 21:33,anonymous,EN,1,22,1,,4,,1,1,2,22,Financial Assistant,1,1,1,2,,4,6.58,21.639,22.678,12,7,7,7,7,1,1.919,10.113,10.408,10,4,5,4,5,1,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,7,7,1,2,1,1,1,1,1,1,7,7,7,6,5,3,5,4,4,5,5,4,4,4,6,5,5,6,5,6,7,5,5,5,5,5,5,5,1,1,1,7,1,1,1,1,4,5,4,5,5,5,5,3,5,5,5,4,4,1,1,1,8,1,1,5,"Ultimately, once people have achieved security, purposeful and fulfilling work is more important, but it is also the most important to teach children through inspiration. I think a lot of people are not inspired so most people just grind life as a game for money and it's kinda of unfulfilling if you consider its just a number.",,29400
08/06/2022 20:32,08/06/2022 20:42,0,100,580,1,08/06/2022 20:42,anonymous,EN,1,27,2,,2,,2,3,4,6,Computer Programmer,1,2,3,4,,3,3.242,49.438,51.497,10,7,7,7,6,1,19.855,30.763,31.21,8,7,7,6,6,1,7,6,5,6,5,7,6,7,6,7,7,7,5,5,6,6,4,1,2,1,1,5,1,4,4,,7,7,6,7,6,7,7,7,6,7,7,6,6,6,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,2,6,6,6,6,6,7,7,6,7,6,6,7,7,6,6,7,7,2,4,5,5,7,7,7,No I do not,,36351
